Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Gift of the manufacturer,,1,10,,11
Gift of the photographer,,35,,,35
Given anonymously,,2,,,2
Henry Church Fund,6,27,,,33
Inter-American Fund,,11,1,,12
Mrs. Simon Guggenheim Fund,,1,,,1
Purchase,2,63,18,,83
Purchase Fund,,16,1,,17
1948,15,345,41,,401
A. Conger Goodyear Fund,,3,,,3
Abby Aldrich Rockefeller Fund,,5,,,5
Acquired through the Lillie P. Bliss Bequest,,14,,,14
Aristide Maillol Fund,,3,,,3
"Edgar Kaufmann, Jr. Fund",,1,1,,2
"Edgar Kaufmann, Jr. Purchase Fund",,7,,,7
"Gift of A. J. Van Dugteren & Sons, Inc.",,1,,,1
Gift of Abby Aldrich Rockefeller,,21,,,21
Gift of Bernard Gheerbrant,,1,,,1
Gift of Bernard J. Reis,1,5,,,6
"Gift of Bloomingdale Bros., Inc.",,1,,,1
Gift of C. Philip Boyer,1,1,,,2
"Gift of D. Stanley Corcoran, Inc.",,2,,,2
Gift of Daniel-Henri Kahnweiler,,1,,,1
Gift of Daniel-Henry Kahnweiler,,2,,,2
"Gift of Edgar Kaufmann, Jr.",,2,2,,4
Gift of Finland Ceramics & Glass Corp.,,1,,,1
Gift of François Lachenal,,1,,,1
Gift of Franklin Field,,1,,,1
Gift of Fred Leighton Inc.,,,1,,1
Gift of Garrison Products,,10,,,10
Gift of George E. Weigl Co.,,1,,,1
Gift of Gordon Chadwick,,6,,,6
Gift of Greta Daniel,,,1,,1
Gift of Gump's,2,,,,2
Gift of Henri Jonquières,,24,,,24
Gift of Henry G. Proskauer,,1,,,1
Gift of Jean Deniau,,2,,,2
Gift of Joseph Binder,,2,,,2
Gift of Justin K. Thannhauser,,1,,,1
Gift of Lewis & Conger,,2,4,,6
Gift of Lincoln Kirstein,,2,,,2
Gift of Mrs. M. Rawson,,1,,,1
Gift of Mrs. Theodore Boettger,1,,,,1
Gift of Mrs. V. Henry Rothschild,,,1,,1
Gift of Philip C. Boyer,,1,,,1
