Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Gift of Emilio del Junco,,1,,,1
Gift of F. M. Supper,,1,,,1
Gift of Felix Landau,,1,,,1
"Gift of Frances Archipenko Gray in honor of Alfred H. Barr, Jr.",,1,,,1
Gift of Galerie Denise René,,9,,,9
Gift of Galerie Gérald Cramer,,1,,,1
"Gift of Galerie Gérald Cramer, Geneva",,1,,,1
Gift of Gemini G.E.L.,,9,,,9
Gift of Geoffrey Gates,,1,,,1
Gift of Henry M. Reed,,8,,,8
Gift of Henry Reed,,1,,,1
"Gift of Herman Miller AG, Basel, Switzerland",,1,,,1
"Gift of IBM, New York",,,1,,1
Gift of Ivan Chermayeff,,1,,,1
Gift of J. C. Van Rijn,,1,,,1
Gift of Jeanne Reynal,1,,,,1
"Gift of Kleiner, Bell & C",,1,,,1
"Gift of Kleiner, Bell & Co.",83,673,,,756
"Gift of Kleiner, Bell and Co.",,1,,,1
Gift of Lars Bjorkholm,,1,,,1
Gift of Lee Friedlander,,14,,,14
Gift of Lee Krasner Pollock,,17,,,17
Gift of Lincoln Kirstein in honor of René d'Harnoncourt,,1,,,1
Gift of Lincoln Kirstein in memory of René d'Harnoncourt,,14,,,14
Gift of List Art Posters,1,,,,1
Gift of Louise Ferrari,,1,,,1
Gift of Louise Reinhardt Smith,,1,,,1
Gift of Maureen Granville-Smith,,1,,,1
Gift of Miss Eleanor Conway Sawyer,,5,,,5
Gift of Miss Mina Turner,16,4,,,20
Gift of Mme. Jean Arp in memory of René d'Harnoncourt,,1,,,1
Gift of Monroe Wheeler,,3,,,3
Gift of Mr. and Mrs. Arthur Wiesenberger,,1,,,1
Gift of Mr. and Mrs. Barnett Newman in honor of René d'Harnoncourt,,3,,,3
Gift of Mr. and Mrs. Bernard J. Reis,,13,,,13
Gift of Mr. and Mrs. Cuthbert Daniel,1,,,,1
Gift of Mr. and Mrs. Daniel Saidenberg,,2,,,2
Gift of Mr. and Mrs. David Kluger,,1,,,1
"Gift of Mr. and Mrs. Felix Juda, Los Angeles",,1,,,1
Gift of Mr. and Mrs. Henry M. Reed,,1,,,1
Gift of Mr. and Mrs. Herbert Fischbach,1,,,,1
Gift of Mr. and Mrs. Klaus G. Perls,,1,,,1
"Gift of Mr. and Mrs. R. Kirk Askew, Jr.",,1,,,1
Gift of Mr. and Mrs. Sidney Elliot Cohn,,1,,,1
Gift of Mr. and Mrs. Thomas B. Hess,,1,,,1
Gift of Mr. Irving Drutman in memory of George Davis,,1,,,1
Gift of Mrs. Bliss Parkinson in honor of René d'Harnoncourt,,1,,,1
Gift of Mrs. Esteban Vicente,,1,,,1
Gift of Mrs. Frances Archipenko,,3,,,3
Gift of Mrs. Gertrud A. Mellon,1,5,,,6
Gift of Mrs. Hermine Turner,1,,,,1
Gift of Mrs. Ruth Vollmer,,7,,,7
Gift of Mrs. Sadye M. Lee,,1,,,1
Gift of Mrs. Vera List,,1,,,1
Gift of Nelly van Doesburg,,2,,,2
Gift of Nicholas Wilder in memory of Jordan Hunter (1949-1968),,1,,,1
Gift of Paul Bianchini,,1,,,1
Gift of Perls Galleries,,1,,,1
Gift of Philip Johnson,1,14,,,15
Gift of Philip Johnson (by exchange),,1,,,1
Gift of Philip Sills (by exchange),,2,,,2
Gift of Push Pin Studios,,4,,,4
Gift of Robert M. Doty,2,4,,,6
Gift of S. Herman Klarsfeld,,1,,,1
Gift of Silvia Pizitz,1,,,,1
"Gift of Stendig, Inc.",,1,,,1
Gift of the architect,,1,,,1
Gift of the artist,,27,,,27
Gift of the artist and Collector's Press,,5,,,5
"Gift of the artist and Petersburg Press, London",,1,,,1
"Gift of the artist in memory of his brother, Miguel Ossorio",,1,,,1
Gift of the artist in memory of René d'Harnoncourt,,1,,,1
"Gift of the artist, in honor of René d'Harnoncourt",13,,,,13
Gift of the Celeste and Armand Bartos Foundation,14,34,,,48
Gift of the designer,1,12,,,13
"Gift of the Galerie Casa, Munich",,1,,,1
Gift of the Glickstein Foundation,1,,,,1
Gift of the Industrial Design Society of America,,1,,,1
Gift of the manufacturer,,12,1,,13
Gift of the photographer,2,80,,,82
"Gift of the Saidenberg Gallery, New York",,2,,,2
"Gift of the Samuel I. Newhouse Foundation, Inc.",,1,,,1
Gift of the Tibor de Nagy Gallery,,1,,,1
"Gift of Transcriptors, New York",,1,,,1
Gift of Violet Romer,,22,,,22
Given anonymously,,8,,,8
Grace M. Mayer Fund,,3,,,3
Helena Rubinstein Fund,,1,,,1
Inter-American Fund,5,176,,,181
John B. Turner Fund,2,99,,,101
John R. Jakobson Foundation Fund,1,2,,,3
John R. Jakobson Fund,,1,,,1
John S. Newberry Fund,,41,,,41
Joseph G. Mayer Foundation Fund,,5,,,5
Joseph G. Mayer Foundation Fund in memory of René d'Harnoncourt,1,,,,1
Joseph M. and Dorothy B. Edinburg Charitable Trust,,1,,,1
Joseph M. and Dorothy B. Edinburg Charitable Trust Fund,,2,,,2
L-B Foundation Fund,,3,,,3
Larry Aldrich Foundation Fund,,9,,,9
Larry Aldrich Fund (by exchange),,11,,,11
Latin American Fund,,21,,,21
Lester Avnet Fund,,2,,,2
Monroe Wheeler Fund,,43,,,43
Mr. and Mrs. Alfred R. Stern Fund,,1,,,1
Mr. and Mrs. Arthur Wiesenberger Fund,,3,,,3
Mr. and Mrs. John Spencer Fund,,13,,,13
Mr. and Mrs. Joseph H. Hazen and Mr. and Mrs. Francis F. Rosenbaum Funds,,1,,,1
Mr. and Mrs. Samuel C. Dretzin Fund,,1,,,1
Mr. and Mrs. William H. Weintraub Fund,,1,,,1
Mrs. Alfred R. Stern Fund,,3,,,3
Mrs. Bertram Smith Fund,,1,,,1
Mrs. Gertrud A. Mellon Fund,,2,,,2
Mrs. Joanne M. Stern Fund,,2,,,2
Mrs. Ruth Dunbar Cushing Fund,1,,,,1
Mrs. Sam A. Lewisohn Fund,,1,,,1
Mrs. Simon Guggenheim Fund,,2,,,2
Nelson A. Rockefeller Fund,,6,,,6
Nina and Gordon Bunshaft Fund,,1,,,1
Philip Johnson Fund,2,1,,,3
Preserved from material on loan from William K. Everson,,1,,,1
Purchase,2,86,,,88
Purchase and gift of Mrs. Manzu,,1,,,1
Purchase from the Artist. Circulating Film & Video Library,,1,,,1
Purchase. Lily Auchincloss Fund,,1,,,1
Richard Avedon Fund,1,,,,1
Richard H. Emerson Fund,,1,,,1
Saidie A. May Fund,,5,,,5
The Celeste and Armand Bartos Foundation Fund,,13,,,13
The Family of Man Fund,2,,,,2
The Sidney and Harriet Janis Collection,,12,,,12
The William B. Jaffe and Evelyn A.J. Hall Collection,,1,,,1
(blank),9,157,,,166
1970,194,1003,11,,1208
Abby Aldrich Rockefeller Fund and gift of Mrs. William Sisler,,1,,,1
"Acquired by exchange through the Katherine S. Dreier Bequest, and the Hillman Periodicals, Philip Johnson, Miss Janice Loeb, Abby Aldrich Rockefeller, and Mr. and Mrs. Norbert Schimmel Funds",,1,,,1
Acquired through the Lillie P. Bliss Bequest,,1,,,1
Acquired with matching funds from Mr. and Mrs. Allan D. Emil and the National Endowment for the Arts,,4,,,4
Alva Gimbel Fund,,11,,,11
Anonymous Purchase Fund,,1,,,1
Blanchette Hooker Rockefeller Fund,,30,,,30
Charles Mergentime Fund,,1,,,1
Charles Simon Fund,,1,,,1
David H. McAlpin Fund,,46,,,46
David Rockefeller Latin American Fund,,4,,,4
Donald H. Karshan Fund,,1,,,1
Donald Karshan Fund,2,14,,,16
Elizabeth Bliss Parkinson Fund,,1,,,1
Estée and Joseph Lauder Design Fund,,2,,,2
Felix and Helen Juda Foundation Fund,,1,,,1
General Drawings and Prints Fund,,1,,,1
Gertrud A. Mellon Fund,,2,,,2
Gift in honor of René d'Harnoncourt,,1,,,1
"Gift of Alfred H. Barr, Jr.",,4,,,4
Gift of Andrew and Mary Stasik,1,9,1,,11
Gift of Associated American Artists,,8,,,8
Gift of Barbara Jakobson and John R. Jakobson,,1,,,1
"Gift of Brandeis University National Women's Committee, Greater New York, New Jersey Region, in memory of Lester F. Avnet",,11,,,11
Gift of Braun North America,,2,,,2
"Gift of Charles Z. Offin Art Fund, Inc.",,1,,,1
Gift of David Whitney,,12,,,12
Gift of Donald Droll,,1,,,1
Gift of Donald H. Karshan,,1,,,1
Gift of Dr. and Mrs. Arthur Lejwa,,1,,,1
Gift of Elaine L. Johnson,,1,,,1
"Gift of Enterprise Magistrat, Ljubljana, Yugoslavia",,1,,,1
Gift of Frances Archipenko Gray and Perls Galleries,,1,,,1
Gift of Frank Perls,,1,,,1
Gift of G. H. Bass & Co.,,1,,,1
Gift of Galerie Denise René,,1,,,1
Gift of Gemini G.E.L.,2,6,,,8
Gift of Howard Miller Clock Co.,,3,,,3
Gift of Iolas Gallery,,77,,,77
Gift of Jack Lenor Larsen,28,,,,28
Gift of James Thrall Soby,,6,,,6
Gift of Josef Albers,91,,,,91
"Gift of Kleiner, Bell & Co.",,1,,,1
Gift of Knoll International,,1,,,1
Gift of Laurent Oppenheim Jr.,,1,,,1
"Gift of Laurent Oppenheim, Jr.",,4,,,4
Gift of Lee Krasner Pollock,,25,,,25
Gift of Lillian Nassau,,1,,,1
Gift of Ludwig Glaeser,,1,,,1
"Gift of Marlborough Graphics, Inc.",,11,,,11
Gift of Miss Lois Outerbridge,,1,,,1
Gift of Monroe Wheeler,,6,,,6
Gift of Mr. and Mrs. Armand P. Bartos,,1,,,1
Gift of Mr. and Mrs. Arthur Wiesenberger,,1,,,1
Gift of Mr. and Mrs. Daniel Saidenberg,,1,,,1
Gift of Mr. and Mrs. Eli Wallach,,1,,,1
Gift of Mr. and Mrs. Felix M. Juda,,2,,,2
Gift of Mr. and Mrs. George M. Jaffin,,1,,,1
Gift of Mr. and Mrs. M. Riklis,,1,,,1
Gift of Mr. and Mrs. William Unger (by exchange),,1,,,1
Gift of Mrs. Abraham Chanin,,12,,,12
Gift of Mrs. Alfred Marrow,,11,,,11
Gift of Mrs. Bertram Smith,2,,,,2
Gift of Mrs. Joseph Zimmerman,,1,,,1
Gift of Mrs. Kay Hillman,,1,,,1
Gift of Mrs. William Sisler and Edward James Fund,,1,,,1
Gift of Mrs. Wolfgang Schoenborn,2,7,4,,13
Gift of Nina and Gordon Bunshaft in honor of the artist,,1,,,1
"Gift of Olivetti Underwood Corp., N. Y. C.",,1,,,1
"Gift of Olivetti Underwood, Corp., New York, NY",,1,,,1
Gift of Paul K. Watabe,,3,,,3
Gift of Philip Johnson,2,21,,,23
Gift of Premio Internazionale Biella per L'incisione,1,,,,1
Gift of Push Pin Studios,,1,,,1
"Gift of Rathcon Inc., USA",,1,,,1
Gift of Richard A. Cohn,,5,,,5
Gift of Ruth Stephan Franklin,1,,,,1
Gift of Samuel M. Kootz,,1,,,1
Gift of Sidney Elliott Cohn,,1,,,1
Gift of Stanley Triggs,,1,,,1
Gift of Steven C. Rockefeller,1,,,,1
Gift of the artist,11,71,,,82
"Gift of the artist
",,2,,,2
Gift of the Celeste and Armand Bartos Foundation,9,28,,,37
Gift of the designer,3,6,1,,10
Gift of The Kulicke Family,,1,,,1
Gift of the manufacturer,,4,1,,5
Gift of the Office of Mies van der Rohe,,1,,,1
Gift of the photographer,,99,,,99
Gift of Twentieth Century-Fox,,1,,,1
Gift of Ulrich and Josephine Franzen,,10,,,10
Gift of Wilder Green,1,2,,,3
Gift of William Rubin,,1,,,1
Given anonymously,1,21,,,22
Inter-American Fund,,19,,,19
John B. Turner Fund,2,109,,,111
John R. Jakobson Foundation Fund,,1,,,1
John S. Newberry Fund and John B. Turner Fund,,1,,,1
Joseph M. and Dorothy B. Edinburg Charitable Trust Fund,,2,,,2
Larry Aldrich Foundation Fund,,4,,,4
Larry Aldrich Fund,,1,,,1
Monroe Wheeler Fund,13,45,,,58
Mr. and Mrs. Joachim Jean Aberbach Fund,,1,,,1
Mr. and Mrs. John Spencer Fund,,7,,,7
Mrs. Donald B. Straus Fund,1,55,,,56
Mrs. E. B. Parkinson Fund,,2,,,2
Mrs. Florene M. Schoenborn Fund,2,2,,,4
Mrs. Ruth Dunbar Cushing Fund,,1,,,1
"Mrs. Simon Guggenheim Fund, special contribution in honor of Dorothy C. Miller",,1,,,1
Preserved from original materials on loan from Twentieth Century-Fox,,1,,,1
Purchase,10,54,4,,68
Purchase from the Artist’s Estate,2,,,,2
Reiss-Cohen Fund,,1,,,1
"Restored with funding from The Film Foundation/Robert Sturm and the Celeste Bartos Film Preservation Fund, from materials on loan from Warner Bros. and Martin Scorsese",,1,,,1
San Juan Racing Association Fund,,1,,,1
Stephen R. Currier Memorial Fund,,15,,,15
The Family of Man Fund,,2,,,2
The Parkinson Fund,,6,,,6
Walter Bareiss Fund,,2,,,2
(blank),6,18,,,24
1971,45,740,257,,1042
A. Conger Goodyear Fund,,2,,,2
Abby Aldrich Rockefeller Fund,,1,,,1
Acquired from Gosfilmofond. Circulating Film & Video Library,1,,,,1
Acquired with matching funds from Blanchette Hooker Rockefeller and the National Endowment for the Arts,1,,,,1
Acquired with matching funds from Mr. and Mrs. Bernard J. Reis and the National Endowment for the Arts,,1,,,1
Adriane Reggie Fund,1,2,,,3
Advisory Committee Fund,,1,,,1
Alva Gimbel Fund,,4,,,4
Anonymous Gift,,1,,,1
Art Dealers Association Fund in memory of Peter H. Deitsch,,1,,,1
Barbara S. Adler Bequest,1,,,,1
Benjamin Zeller Memorial Fund and Anonymous Fund,,1,,,1
Blanchette Hooker Rockefeller Fund,,8,,,8
Charles and Anita Blatt Fund and purchase,,1,,,1
Circulating Film and Video Library,1,,,,1
David H. McAlpin Fund,,9,,,9
David Rockefeller Latin American Fund,,1,,,1
Derald and Janet Ruttenberg Foundation Fund,,1,,,1
Donald H. Karshan Fund,,27,,,27
Donald Karshan Fund,,1,,,1
Estée and Joseph Lauder Design Fund,,1,,,1
Eugene and Clare Thaw Fund,,1,,,1
Fractional gift of Charles Cowles,,2,,,2
Gift of Abby Aldrich Rockefeller (by exchange),,11,,,11
Gift of Associated American Artists,,1,,,1
Gift of Bernard C. Holland,,1,,,1
Gift of Celeste Bartos,4,6,,,10
Gift of Charles Cowles,,4,,,4
Gift of Connie and Jack Glenn and Pinky and Arthur Kase,,8,,,8
Gift of Dain Gallery,,37,,,37
Gift of David Steinmetz,,1,,,1
Gift of Donald Droll,,1,,,1
Gift of Donald Gold,,1,,,1
Gift of Donald Karshan,,1,,,1
Gift of Dorothy and Lou Faibish,,2,,,2
Gift of Dr. and Mrs. Judd Marmor,,1,,,1
Gift of Earl Reiback,,1,,,1
Gift of Editions Alecto Ltd.,,1,,,1
Gift of Edward M. M. Warburg,1,,,,1
Gift of Edward Steichen,,1,,,1
Gift of Galerie Grimaud,1,,,,1
Gift of Gemini G.E.L.,,3,,,3
Gift of John and Kimiko Powers,,1,,,1
Gift of John W. Weber,,1,,,1
Gift of Joseph Randall Shapiro,,1,,,1
Gift of Lee Friedlander,,6,,,6
Gift of Lee V. Eastman and John L. Eastman,,7,,,7
Gift of Lillian L. and Jack I. Poses,,1,,,1
Gift of Ludwig Glaeser,,2,,,2
Gift of M. E. Thelen Gallery,,1,,,1
Gift of M.E. Thelen Gallery,,1,,,1
Gift of Miss May E. Walter,,1,,,1
Gift of Mme Alexandra Zaousaileff,,37,,,37
Gift of Mme. Alexandra Zaousaileff,,2,,,2
Gift of Mr. and Mrs. Armand P. Bartos,,2,,,2
Gift of Mr. and Mrs. Ben Heller,,1,,,1
Gift of Mr. and Mrs. David Gensburg,,6,,,6
Gift of Mr. and Mrs. Edouard Cournand,,1,,,1
Gift of Mr. and Mrs. Gianluigi Gabetti,,1,,,1
Gift of Mr. and Mrs. Herbert Fischbach,,1,,,1
Gift of Mr. and Mrs. Joseph Slifka,,1,,,1
Gift of Mr. and Mrs. Ralph F. Colin,,1,,,1
Gift of Mr. and Mrs. Samuel Dorsky,,2,,,2
Gift of Mr. and Mrs. Sidney E. Cohn,,1,,,1
Gift of Mr. and Mrs. Victor W. Ganz,,1,,,1
"Gift of Mr. and Mrs. Walter Bareiss, in memory of Peter H. Deitsch",,4,,,4
Gift of Mr. and Mrs. Wolfgang Schoenborn,,23,,,23
Gift of Mr. and Mrs. Wolfgang Schoenborn in honor of René d'Harnoncourt,,4,,,4
"Gift of Mr. and Mrs. Wolfgang Schoenborn, in memory of René d'Harnoncourt",,1,,,1
Gift of Mrs. Bliss Parkinson,,1,,,1
Gift of Mrs. Carl Sandburg,,2,,,2
Gift of Mrs. John de Cuevas,,1,,,1
Gift of Mrs. Maurice Blin,,1,,,1
Gift of Mrs. Portia Harcus,,1,,,1
Gift of Noah Goldwosky,,1,,,1
"Gift of PepsiCo, Inc.",,1,,,1
Gift of Peter Pollack,,3,,,3
Gift of Phil Shorr,,1,,,1
Gift of Philip Johnson,,7,,,7
Gift of Philip Johnson (by exchange),,1,,,1
Gift of Philip Johnson in memory of Sibyl Moholy-Nagy,,2,,,2
Gift of Pierre Matisse,,2,,,2
Gift of René d'Harnoncourt,,1,,,1
Gift of Roy Lichtenstein,,1,,,1
Gift of Sam and Edna Neidorf,,1,,,1
Gift of the artist,,8,,,8
Gift of the artist and A. M. Sachs Gallery,,1,,,1
Gift of the artist and the publisher,,34,,,34
"Gift of the Artist, 1971. Purchase from Zipporah Films, 2009",1,,,,1
"Gift of the artist, Parasol Press and The Wadsworth Atheneum",,23,,,23
"Gift of the artist, Parasol Press, and the Wadsworth Atheneum",,16,,,16
"Gift of the Board of Education, the City of New York",4,,,,4
Gift of the Celeste and Armand Bartos Foundation,1,3,,,4
Gift of The Cosmopolitan Arts Foundation,,1,,,1
Gift of the Eva Hesse Estate,4,,,,4
Gift of the Fischbach Gallery,,1,,,1
Gift of The Helen and Felix Juda Foundation,,1,,,1
Gift of the Mr. and Mrs. Stanley Marcus Foundation,,1,,,1
Gift of the Office of Mies van der Rohe,,1,,,1
Gift of the photographer,1,10,,,11
"Gift of Time, Inc.",,6,,,6
Gift of Tomas del Amo,,1,,,1
Gift of Twentieth Century-Fox. Preserved with funding from the Louis B. Mayer Foundation,,1,,,1
Gift of Willard Van Dyke,,14,,,14
Gift of William Rubin,,2,,,2
Given anonymously,1,8,,,9
Given in memory of Peter H. Deitsch,,5,,,5
John B. Turner Fund,2,65,,,67
John Parkinson III Fund,,2,,,2
John R. Jakobson Foundation Fund,,12,,,12
John Spencer Fund,,1,,,1
Larry Aldrich Foundation Fund,,1,,,1
Larry Aldrich Fund,,1,,,1
Larry Aldrich Fund and Walter Bareiss Fund,,6,,,6
Lily Auchincloss Fund,,11,,,11
"Mary Anderson Conroy Bequest in memory of her mother, Julia Quinn Anderson",1,,,,1
Monroe Wheeler Fund,,1,,,1
Mrs. Bertram Smith Fund,,3,,,3
Mrs. Donald B. Straus Fund,,1,,,1
"Mrs. Sam A. Lewisohn Bequest (by exchange), and Mrs. Marya Bernard Fund in memory of her husband Dr. Bernard Bernard, and anonymous funds",,1,,,1
Mrs. W. Murray Crane Fund,,1,,,1
Peter H. Deitsch Bequest,,3,,,3
Philip Johnson Fund,,3,,,3
Philip Johnson Fund (by exchange) and gift of Mr. and Mrs. Bagley Wright,,1,,,1
Purchase,14,120,257,,391
Purchase from the Artist,,1,,,1
Purchase through the International Council Fund,,1,,,1
Reiss-Cohen Fund,,6,,,6
San Juan Racing Association,1,,,,1
Stephen R. Currier Memorial Fund,2,29,,,31
The Parkinson Fund,1,6,,,7
The William S. Paley Collection,,1,,,1
Walter Bareiss Fund,1,2,,,3
William H. Weintraub Fund,,1,,,1
(blank),,38,,,38
1972,66,757,4,,827
Abby Aldrich Rockefeller Fund,,1,,,1
Acquired from Twentieth Century-Fox. Preserved with funding from the Celeste Bartos Film Preservation Fund and the National Endowment for the Arts,,1,,,1
"Acquired through an anonymous fund, the Mr. and Mrs. Joseph Slifka and Armand G. Erpf Funds, and by gift of the artist",,1,,,1
Acquired with matching funds from an anonymous donor and the National Endowment for the Arts,,1,,,1
Anonymous Fund,,6,,,6
Celeste Bartos Fund,9,,,,9
David H. McAlpin Fund,1,11,,,12
David Rockefeller Latin American Fund,1,8,,,9
Derald and Janet Ruttenberg Foundation Fund,,1,,,1
Edward Steichen Fund,,1,,,1
Estée and Joseph Lauder Design Fund,1,,,,1
Fractional and promised gift of Charles Cowles,,1,,,1
Fractional gift of Charles Cowles,,1,,,1
Gertrud A. Mellon Fund,,1,,,1
Gift of Abby Aldrich Rockefeller (by exchange),1,,,,1
Gift of Alfredo Boulton,,48,,,48
Gift of Arthur M. Bullowa,,1,,,1
Gift of Associated American Artists,,2,,,2
"Gift of Associated American Artists, New York",,1,,,1
Gift of Berggruen & Cie,,1,,,1
Gift of Betty Parsons Gallery,1,,,,1
Gift of Bonniers,,3,,,3
Gift of Carol O. Selle,,32,,,32
Gift of Celeste Bartos,3,40,,,43
Gift of Donna M. Stein,,1,,,1
Gift of Dr. Maurice Abitol,,9,,,9
"Gift of Edgar Kaufmann, Jr.",,5,,,5
Gift of Edition Olympia,,1,,,1
Gift of Edward Steichen,1,36,,,37
Gift of Eli Wallach,,1,,,1
Gift of Estudio Actual,,1,,,1
Gift of George and Janet Jaffin Foundation,,1,,,1
Gift of George Money,2,,,,2
Gift of James Thrall Soby (by exchange),,16,,,16
Gift of Lee Friedlander,,5,,,5
Gift of Lily Auchincloss,,1,,,1
"Gift of Luciano Anselmo, Torino, Italy",,1,,,1
Gift of Monroe Wheeler,,2,,,2
Gift of Mr. and Mr. Eliot C. Clarke,,1,,,1
Gift of Mr. and Mrs. Eliot C. Clarke,,1,,,1
Gift of Mr. and Mrs. Leonard Bocour,,1,,,1
Gift of Mr. and Mrs. Nikita Lobanov,16,,,,16
Gift of Mr. and Mrs. Pierre Matisse,,1,,,1
Gift of Mr. and Mrs. Wolfgang Schoenborn,,13,,,13
Gift of Mr. and Mrs. Wolfgang Schoenborn in honor of René d'Harnoncourt,,1,,,1
Gift of Mrs. Alfred R. Stern in honor of René d'Harnoncourt,,1,,,1
Gift of Mrs. Bliss Parkinson,,1,,,1
Gift of Mrs. Eugene McDermott in honor of René d'Harnoncourt,,1,,,1
"Gift of Nabis Fine Arts, Inc.",,1,,,1
Gift of Philip Johnson,,1,,,1
"Gift of RCA Records, Inc.",,1,,,1
Gift of Roberta Gonzalez,,1,,,1
Gift of Steingrim Laursen,,2,,,2
Gift of the artist,3,60,,,63
"Gift of the Artist with permission of Columbia Studios.
",,1,,,1
Gift of the designer,,11,,,11
Gift of the John Emlen Bullock Estate,,24,,,24
Gift of the manufacturer,1,24,3,,28
Gift of the manufacturer and ICF Inc.,,1,,,1
"Gift of the manufacturer, Heller Designs, Inc.",,1,,,1
Gift of the photographer,9,52,,,61
Gift of The Society of American Graphic Artists,,1,,,1
"Gift of the Solway Gallery, Cincinnati",,1,,,1
Gift of Twentieth Century-Fox,,3,,,3
"Gift of Twentieth Century-Fox. Preserved with funding from the Louis B. Mayer Foundation 

",,1,,,1
Gift of Twentieth Century-Fox. Restored with funding from the Celeste Bartos Fund for Film Preservation and The Film Foundation,,1,,,1
Given anonymously,,3,,,3
Given anonymously in honor of Jennifer Licht,,1,,,1
Given anonymously in memory of William B. Jaffe,,1,,,1
Given in memory of Beth Lisa Feldman,,1,,,1
Inter-American Fund,,3,,,3
John B. Turner Fund,5,56,,,61
John Parkinson III Fund,,4,,,4
John R. Jakobson Foundation Fund,,1,,,1
John Spencer Fund,1,9,,,10
Katia Granoff Fund,,1,,,1
Larry Aldrich Fund,,1,,,1
Latin American Fund,1,,,,1
Leo Castelli Fund,,2,,,2
Lily Auchincloss Fund,5,2,,,7
Monroe Wheeler Fund,,87,,,87
Mr. and Mrs. E. Powis Jones Fund,1,1,,,2
Philip Johnson Fund,,1,,,1
Purchase,2,120,1,,123
Walter Bareiss Fund,,1,,,1
(blank),2,12,,,14
1973,117,934,8,,1059
Acquired by exchange,,132,,,132
Acquired from the Artist,,1,,,1
Acquired through the generosity of the International Program of The Museum of Modern Art,6,,,,6
Acquired with matching funds from an anonymous donor and the National Endowment for the Arts,,1,,,1
Acquired with matching funds from Blanchette Hooker Rockefeller and the National Endowment for the Arts,,2,,,2
Acquired with matching funds from Michael Blankfort and the National Endowment for the Arts,,1,,,1
Acquired with matching funds from Mr. and Mrs. Eugene Victor Thaw and the National Endowment for the Arts,,4,,,4
Acquired with matching funds from the Joseph G. Mayer Foundation and the National Endowment for the Arts,,1,,,1
"Acquired with matching funds from The Lily Auchincloss Foundation, Inc. and the National Endowment for the Arts",,3,,,3
Acquired with matching funds from The Walter Foundation and the National Endowment for the Arts,,1,,,1
"Alva Gimbel Fund, D.S. and R.H. Gottesman Foundation Fund, Saidie A. May Fund, John S. Newberry Fund, Mrs. E.B. Parkinson Fund",1,,,,1
Anonymous Fund,,,1,,1
